variable_id	variable_definition
28753	Learners present their viewpoint during the meeting.
28754	Learners' perceived quality of feedback.
28755	The degree to which the discussion is dominated by one of a few learners in an unproductive manner.
28756	The degree to which the learner experiences difficulty in communicating with each other in English.
28757	The degree to which the learners help each other to learn.
28758	The degree to which the learner picks up relevant and meaningful relationships between the concepts that belong to the same hierarchy.
28759	The degree to which the  learner constructs correct relationships between the concepts that belong to different levels of hierarchies and abstraction.
28760	The degree to which the structural knowledge of a learner is similar to that of the other learners of the group.
28761	Negotiators were supported with a visualization system  the Virtual Business System (VBS).
28762	The importance of a shared policy and shared objectives for themselves  the environment  and for the economic development of the region.
28763	The degree to which negotiators coordinate their efforts to achieve common goals.
28764	The degree of perceived unity among negotiators.
28765	The degree of differentiation within the group.
28766	Respondents' satisfaction with the process.
28767	Respondents' satisfaction with the outcome.
28768	Respondents' satisfaction with the facilitation.
28769	The positive emotional response sometimes associated with goal attainment.
28771	Participants used a group support system (GSS) that provided anonymity for each individual.
28772	The extent to which individuals choose to minimize effort in a group setting.
28773	The loss of ideas  or failure to generate or remember new ideas  while waiting for a tum to speak during a meeting.
28774	The extent to which individuals feel their efforts are being taken advantage of by other members.
28775	The degree of mutual cooperation  confidence  and trust that exists among group participants and can take the form of verbal or nonverbal support.
28776	Time period of the task  split into eight periods.
28777	The fear of being negatively evaluated by one's peers and often prevents participants from presenting their ideas or questions to a group.
28778	The extent to which organizational members are aware of the sources of key organizational information and its applicability to existing problem areas.
28779	The extent of communication and that exists between organizational members.
28780	The comparison of process- and outcome-related performance to organizational goals.
28781	The development of experience  expertise  and skill among existing employees.
28782	Technology-related items pertaining to organizational responses to environmental change.
28783	The extent to which organizational members learn through social channels about  organizational concerns.
28784	The extent to which the organization manages knowledge  skill  and other intellectual capital for long-term strategic gain.
28785	The extent to which the organization capitalizes on the knowledge  practices  and internal capabilities of other organizations.
28786	Respondent's position in their company.
28787	Number of years the respondent has worked in their company.
28788	Number of years respondent has worked in their current position in their company.
28789	Number of employees in the respondents' local company operations.
28790	Age of the respondents' local company operations.
28791	Whether respondents intended to quit and thought about quitting.
28792	Enduring feelings about shared norms and individuals' willingness to exert effort on behalf of the organization.
28793	Whether employees find their employment sufficiently satisfactory to continue in it  either permanently or until they have prepared for greater responsibilities
28794	The perceived amount of autonomy in the respondent's job.
28795	The perceived extent to which the work itself provides clues about how well the respondent is doing.
28796	The perceived amount of variety in the respondent's job.
28797	The perceived general significance of the respondent's job.
28798	The extent to which the respondent's job involves a whole and identifiable piece of work.
28799	Employees' perceptions that salaries are  comparable to peers in other organizations or industries.
28800	Actual turnover rate.
28801	Workers' beliefs that they can find a comparable job in another organization.
28805	Executives were asked to read a scenario with an information systems core decision  inducing little process change.
28806	Executives were asked to read a scenario with a technical  business  core decision  inducing great process change.
28807	The extent to which social support  continuous innovation  and high levels of individual learning were demonstrated in their organization.
28808	The extent to which information systems were currently used in executives' firm to meet organizational objectives and how much they anticipated that information technology would be used in the future to meet those objectives.
28810	Industry category and whether the organization was a service or a manufacturing organization.
28811	Log number of employees.
28812	The amount of effort or resources spent to determine anticipated expenses and payoffs in productivity following an information technology investment.
28813	The amount of effort or resources spent to determine anticipated expenses and payoffs in quality following an information technology investment.
28814	The amount of effort or resources spent to determine anticipated payoffs in decision-making ability following an information technology investment.
28815	The amount of effort or resources spent to determine anticipated expenses in training following an information technology investment.
28816	The amount of effort or resources spent to determine anticipated payoffs in labor saving following an information technology investment.
28817	The amount of effort or resources spent to determine anticipated expenses in learning curve following an information technology investment.
28818	The amount of effort or resources spent to determine anticipated expenses in change management following an information technology investment.
28819	The amount of effort or resources spent to determine anticipated expenses and payoffs in the technical subsystem following an information technology investment.
28820	The extent to which social subsystem costs and benefits in the investment decision are difficult to quantify.
28821	The client's belief that the vendor is competent and knowledgeable.
28822	The client's belief that the vendor is reliable  open  and honest.
28823	The client's belief that the vendor cares and is willing to help.
28824	The mode in which trust is created as a product of the exchange itself by the creation of a good track record.
28825	The mode in which trust is created by sharing expectations of what is happening and what is expected of all parties involved through a common background of customs and culture.
28826	The mode in which trust is created through a market mechanism that provides an independent guarantee that provides a certification.
28827	Client's perceived usefulness of the enterprise resource planning.
28828	Client assessment that their business relationship with the customization vendor is worthwhile.
28829	Client's perceived ease of use of the enterprise resource planning.
28830	The extent to which the process and content structure for the focal  relationship is similar to that for other partners.
28831	The extent to which processes connected  to the focal partner are clearly divided  precisely specified  and able to be performed simultaneously to a large extent.
28832	The characteristics of the connectivity  infrastructure that are likely to positively affect enterprise information processing by providing data in a form that can be easily processed by applications  by providing data quickly and by identifying the data structure.
28833	The ability of the  relationship to handle changes in volume and to roll over product offerings.
28834	The ease of replacing the partner in the focal firm's supply chain relationship.
28835	The relevancy  value added  timeliness   and completeness of the information shared in the relationship.
28836	Sensing of a change  information about the change itself  broadcasting of  information about response to the change  and feedback about the response.
28837	The ability to retain experiences about past supply chain events and to derive inferences from it.
28838	The knowledge of the enterprise about its  partner's competencies  information structures  and process interfaces.
28839	How well the enterprise  understands bow to change processes  information flows  and repositories in  response to needs  as well as how these changes affect business outputs.
28840	The average viewing time of the brands across the six product categories.
28841	The average number of correct identifications in each product category.
28842	The average number of correct identifications of images in each product category.
28843	The psychological costs of performing the task of obtaining and processing the relevant information in order to arrive at one's decision.
28844	Perceived convenience of the Web site.
28845	User's attitude toward using the website.
28846	For the searching task condition  the cover story was that people usually shop online for convenience and time saving. Therefore  supposing that they needed to buy the specific brands of products on the shopping list  they would want to complete their purchases quickly and accurately.
28847	In the list format  six brands were displayed on the screen for each of the six product categories. The brands were organized in a top-down manner  with only one brand in each row.
28848	The recognition of  the problem and the effort involved in gathering information that will aid in making  the decision.
28849	The decision-maker structuring the problem situation  developing criteria  and identifying the various alternatives for fulfilling the shopping need.
28850	The decision-maker evaluating the various alternatives and making the purchase.
28851	The difference in total purchase price of the product (including shipping  etc.  if applicable) between conventional and online channels.
28852	The difference in time spent (approximate number of minutes) in making this purchase between conventional and online channels.
28853	Customer's satisfaction with the online channel.
28854	The extent to which  members are inclined toward teamwork and open to accommodating others' views.
28855	The preferred behavior that people use in order to bring a conflict situation to a settlement.
28856	Members' perceived participation of the virtual team members in the group work.
28857	The percentage of members voting in  favor of the final decision proposed by a group.
28858	Group members'  confidence in the decision outcome and their perceptions of the usefulness of the decision outcome.
28859	Members' satisfaction with the decision-making process.
28860	Whether the group was heterogeneous (containing both Indian and U.S. subjects)  or homogeneous (containing only Indian subjects or only U.S. subjects).
28861	The integration of group  skills and abilities with an expectation that the group will create a cohesive relaxed work environment that will allow a positive performance outcome.
28862	Conflict that is imposed by group members in the decision-making process.
28863	Effectiveness of organization of tasks.
28864	The degree of member noninvolvement.
28865	Whether team members feel that they can state their opinions  thoughts  and feelings without fear.
28867	Extent to which firms share information and the symmetry of this sharing in a network.
28868	The extent to which firms have invested time  effort and finances in customizing linkages.
28869	Aggregate performance of digital supply network partners.
28874	The number of technologies the establishment has  the extent Web applications are electronically integrated with back-office systems and the extent company  databases are electronically integrated with suppliers and partners.
28875	The number of employees in the firm.
28876	The geographical extent of a firm's operations in the global market.
28877	Annual information technology spending and Web-based spending as percentages of total revenue.
28878	The degree that the company is affected by competitors in the market.
28879	E-business usage incentives provided by the government  requirements for government procurement  legal protection of consumers' Internet purchases and supportive business and tax laws for doing e-business.
28880	Increasing sales  improving customer services  and widening sales channels.
28881	Increasing employee productivity and internal processes efficiency.
28882	Reducing transaction costs with business partners and improving coordination with business partners or suppliers.
29114	Describing and defining product structures  configurations  and routines.
29292	Firefighting errors.
29294	Participants' perception of how difficult the task was.
29305	Usefulness of DC-Train.
29311	Candidates received three practice trials using multimedia immersive trainer before attempting to solve the criterion trial.
29366	The average of system log-ons for all members of the team for the full IS-week semester.
29367	A count of each action taken in each module for all members of the team.
29369	The average GMAT score for the team members.
29370	A self-evaluation of one's ability to use a computer to accomplish a task.
29372	The degree to which a developer expects that following a methodology will improve his or her individual job performance.
29373	The degree to which a software developer regards a methodology as difficult to follow or learn.
29374	The extent to which a developer experiences interpersonal  influence (to follow a methodology) from important others within his or her social milieu.
29375	The degree to which a software developer regards the practice of following a methodology as being consistent with his or her preexisting  software development process.
29376	The degree to which a developer believes  that following a methodology has been dictated by an official policy currently in effect  within his or her organization.
29377	A developer's intention to follow a specified methodology in the future.
29378	When users selected the hypertext  View an interactive 3D movie of the product.  QuickTime windows with images of the watches emerged in the center of their display. Users could then rotate the images of the watches by dragging their mice.
29379	When users selected the hypertext 'Try out the watch with our interactive simulation.  their browsers led the users to a page with the watch images on the left and text instructions on the right.  Users could follow the instructions to leam the procedures of how to use functions such as time setting  alarm  stopwatch  and night light  and then try out these functions by pressing and controlling functional buttons by themselves.
29380	Perceived diagnosticity of comfort and appearance.
29381	Perceived diagnosticity of accuracy and functionality.
29382	The extent to which consumers believe that particular shopping experiences are helpful to evaluate products.
29383	A subjective psychological experience that characterizes human-computer interactions as playful and exploratory.
29385	Perceived effects of brand name and trademark.
29437	The ability to effectively execute operational new product development processes.
29439	Ability to evaluate new designs  assess technical specifications  and test prototypes.
29440	Ability to design incentives  monitor progress  and manage conflicts.
29441	The degree to which people in a group actively help one another in their work.
29442	The extent to which people maintain reciprocal faith in each other in terms of intention and behaviors.
29443	The degree to which learning is encouraged in organizations.
29444	The locus of decision authority and control within an organizational entity.
29445	The degree to which decisions and working relationships are governed by formal rules  standard policies  and procedures.
29446	The degree of the respondent's understanding of his her own and others' task areas.
29447	The degree to which knowledge management is supported by the use of information technologies.
29448	Degree of tacit knowledge accumulation  extra-firm social information collection  intra-firm social information gathering  and transfer of tacit knowledge.
29449	Degree of creative dialogue  deductive and inductive thinking  use of metaphors  and exchanged ideas.
29450	Degree of acquisition and integration  synthesis and processing  and dissemination.
29451	Degree of personal experiences  simulation   and experimentation.
29483	The capability of creating valuable and useful products  services  ideas  or procedures by individuals working together in a complex social system.
29484	Degree of overall success  market share  growth rate profitability  and innovativeness in comparison with major competitors.
29494	Respondent's perception of the severity of punishment if they were to be caught committing software piracy.
29495	Respondent's perceptions of the costs of software.
29496	Respondent's perception of the certainty of getting caught if they were to commit software piracy.
29497	Respondent's attitudes toward committing software piracy.
29498	Respondent's perceptions of the attitudes of people who are important to them of software piracy.
29499	The extent to which respondents feel that software piracy is easy.
29500	The extent to which respondents expect to commit software piracy in the future.
29507	The effective generation  dissemination  and responsiveness to market intelligence.
29517	The effective acquisition  assimilation  transformation   and exploitation of knowledge by new product development work units.
29518	The effective resource allocation  task assignment  and activity synchronization by new product development work units.
29519	Contribution  representation  and subordination.
29521	It creates unpredictability in market demands  consumer needs  and competitor strategies.
29522	It creates uncertainty regarding new technological breakthroughs.
29523	The quality of interaction among different functional areas.
29589	How intelligible and informative the executive finds the representations of the organizing vision in its associated public discourse.
29590	Distortions in the discourse  emphasizing in particular the burdening of the organizing vision with misunderstandings  exaggerations  and misplaced claims.
29594	Conceptual discontinuity (how great a conceptual departure does the organizing vision poses) and structural discontinuity (how much difficulty is entailed in implementing it).
29598	A belief that the proper impersonal structures have  been put into place enabling one party to anticipate successful transactions with another party.
29599	One party's willingness to depend on another party with a feeling of relative security even though negative consequences are possible.
29600	Personal experiences  history  and the broad social presence of the vendor and its products and actions.
29601	The individual's salient  beliefs about consequences of performing the behavior.
29602	The strength of the individual's intention to commit to purchasing from the vendor.
29603	Brand name.
29605	Individual's perceived quality of the item.
29606	Knowledge about activities and relationships of collection of raw data.
29607	Knowledge about activities and relationships of storage and maintenance of data in computer systems.
29608	Knowledge about activities and relationships of user retrieval and manipulation of data.
29609	Knowledge about step-by-step procedures of collection of raw data.
29617	Knowledge about step-by-step procedures of storage and maintenance of data in computer systems.
29620	Knowledge about step-by-step procedures of user retrieval and manipulation of data.
29621	Contextual knowledge about collection of raw data that enables inquirers to direct questions based on understanding relevant purposes and underlying principles.
29622	Contextual knowledge about storage and maintenance of data in computer systems that enables inquirers to direct questions based on understanding relevant purposes and underlying principles.
29623	Contextual knowledge about user retrieval and manipulation of data that enables inquirers to direct questions based on understanding relevant purposes and underlying principles.
29624	Control through centrally devised standards  for methods.
29625	The project team was given the authority to make decisions with respect to methods.
29626	The establishment of uniform performance criteria across projects.
29627	The project team was given the authority to make decisions with respect to performance criteria.
29628	The perceived speed of response to environmental changes in comparison to competitors in the same situation.
29629	The extent to which data are correct and free-of-error.
29630	The ability of the organization to accurately estimate the needed resources  time and performance of its software projects.
29631	The efficiency with which the firm  produces its products.
29632	The extent to which data are not missing and are of sufficient breadth and depth for the task at hand.
29633	The organization's ability to respond to changing market conditions.
29634	The extent to which the data are sufficiently up-to-date for the task at hand.
29635	The perceived uncertainty with regard to requirements  technologies  and other critical aspects of software development.
29636	The extent to which data are applicable and helpful for the task at hand.
29637	The extent to which data are available  or easily and quickly retrievable.
29638	Data collectors provide initial input of organizational data.
29639	Data custodians are responsible for storage and maintenance of the data.
29640	Data consumers utilize the data for further integration  aggregation  presentation  and interpretation of data.
29659	Satisfaction with the procedures  deliberations  and methods used by a group throughout the duration of a meeting.
29660	Satisfaction with meeting outcomes vary according to the purpose of the meeting but could potentially include products or deliverables  decisions  recommendations  courses of action and the like.
29661	The degree to which the individual's ranking of their preferences corresponded with the group's ranking of preferences.
29713	The frequency of solidarity  tension release  or agreement and antagonism  tension  or disagreement in the group meeting transcripts.
29714	The ratio of negative socio-emotional communication (antagonism  tension  or disagreement) to positive socio-emotional communication (solidarity  tension release  or agreement).
29715	Perceived clarity of communication among the group.
29718	The frequency of giving suggestions  asking for suggestions  giving opinions and asking for opinions  giving orientation  or asking for orientation in the group meeting transcripts.
29719	Expert quality ratings of each group's solution.
29720	During each unsupported face-to-face meeting  participants sat down at the conference table in a conference room to perform their task. The conference room was equipped with a blackboard  which was in full view of the participants during their discussions. Each participant recorded important points raised during discussions on paper.
29850	The degree to which a system is perceived to enhance one's performance.
29851	The extent to which the activity of using electronic mail is perceived to be enjoyable in its own right  apart from any performance consequences.
29852	The strength of one’s intention to use electronic mail.
30087	Age in years as of the termination date or date the data was collected  whichever is greater.
30095	Annual rate of pay as of the termination date or date the data were collected  whichever is appropriate.
30100	Division of the organization as of the termination date or date the data were collected  whichever is greater.
30101	Date hired by firm.
30102	Most recent performance rating by management  from failing to meet expectations along several important dimensions to exceeding expectations in every respect.
30103	The midpoint of the salary range  adjusted up or down  to reflect performance above or below the mean performance level.
30104	The firm has firm-specific human capital  which is employable in only a single firm and has no value-producing capacity outside a single employer.
30105	The primary skill set for the position involves technical management.
30106	The primary skill set for the position involves architecture.
30107	The primary skill set for the position involves applications.
30109	Number of days or months between the hire date and the earlier of termination date or data collection data.
30110	Job title as of the termination date or the date the data were collected  whichever is later.
30111	Date employment ceased.
30112	The extent to which an individual's annual salary differs from their performance adjusted salary.
30113	Whether an individual is overpaid in line with her performance adjusted salary.
30114	Whether an individual is underpaid in line with her performance adjusted salary.
30115	Whether an individual is equitypaid in line with her performance adjusted salary.
30117	Whether the employee left the firm.
30296	Respondent's ratings of their firm's top management involvement    top management support  business strategy available  study business before technology  and good information systems management.
30297	Respondent's firms' current objectives for strategic information systems planning (SISP).
30298	Concerns centered on the strategic information systems planning (SISP) technique   procedure  or methodology employed.
30299	The resultant strategies or plans of strategic information systems planning (SISP) were not always followed up or fully implemented.
30300	Lack of line management  participation  poor IS-user relationships  inadequate user awareness and education  and low management ownership of the philosophy  and practice of strategic information systems planning (SISP).
30301	The firm takes the approach that assumes   that strategic information systems planning (SISP) is enhanced by  or depends on  use of a formal technique or method.
30302	The firm takes the approach that assumes that current business direction or plans are the  only basis upon which IS plans can be built and  that  therefore  business planning should drive strategic information systems planning (SISP).
30303	The firm's emphasis is on resource planning.
30304	The firm takes the approach based on the assumption that an information systems-oriented model of the business is a necessary outcome of strategic information systems planning (SISP) and  therefore  that analytical modeling methods are  appropriate.
30305	The firm takes the approach that assumes that strategic information systems planning (SISP) is not a special or neat and tidy endeavor but is based on IS decisions being made through continuous Integration between the IS function and the organization.
30306	The respondent's perceived values of attaining technical knowledge  learning  and enhancing their reputations.
30307	Behavioral expectations of using open source software.
30308	Understandings of  causal relationships relating to open source software beliefs.
30320	Whether the buyer reports sharing inventory/capacity planning  production schedules  cost structures  margin structures  marketing strategies  demand patterns  decision-making process  decision-making criteria  pricing schedules plans  product/services in development  and support strategies with the supplier.
30321	Whether the supplier reports sharing inventory/capacity planning  production schedules  cost structures  margin structures  marketing strategies  demand patterns  decision-making process  decision-making criteria  pricing schedules plans  product/services in development  and support strategies with the buyer.
30322	Whether the buyer reports that they have realized a variety of performance outcomes as a result of their interactions with the supplier.
30323	Whether the supplier reports that they have realized a variety of performance outcomes as a result of their interactions with the buyer.
30324	The percentage of the buyer’s overall logistics serviced by the supplier.
30325	Representation of complementary organizational resources and capabilities as well as asset-specific technology investments.
30326	The buyer’s beliefs about the supplier’s domain-specific skills  competencies  and/or characteristics.
30327	The buyer’s beliefs about the extent to which suppliers are believed to act in a positive manner.
30328	The buyer’s perceived adherence of the supplier to generally accepted principles.
30329	The supplier’s beliefs about the buyer’s domain-specific skills  competencies  and/or characteristics.
30330	The supplier’s beliefs about the extent to which buyers are believed to act in a positive manner.
30331	The supplier’s perceived adherence of the buyer to generally accepted principles.
30332	The longevity in the relationship between the buyer and supplier.
30334	Whether the respondent was an information systems manager  business/user manager  or information systems consultant.
30337	The respondent’s perceived importance of a variety of information systems technical knowledge items now.
30338	The respondent’s perceived importance of a variety of information systems technical knowledge items three years from now.
30339	The respondent’s perceived importance of a variety of technology management knowledge/skills (concerned with where and how to deploy information technologies effectively and profitably for meeting strategic business objectives) now.
30340	The respondent’s perceived importance of a variety of technology management knowledge/skills (concerned with where and how to deploy information technologies effectively and profitably for meeting strategic business objectives) three years from now.
30341	The respondent’s perceived importance of both general business knowledge/skills as well as knowledge of and ability to learn about business functions now.
30342	Business functional knowledge- The respondent’s perceived importance of both general business knowledge/skills as well as knowledge of and ability to learn about business functions three years from now.
30343	The respondent’s perceived importance of interpersonal and management skills now.
30344	The respondent’s perceived importance of interpersonal and management skills three years from now.
30353	Respondent’s breakdown of their current information systems staff that are programmers (people doing software development  coding  software maintenance  etc).
30354	Respondent’s breakdown of their current information systems staff that are technical specialists (people with technical knowledge of specific hardware  operating systems  communication systems  database management systems  networks  etc).
30355	Respondent’s breakdown of their current information systems staff that are business analysts/systems analysts (people responsible for planning  analysis  design and implementation of business applications.
30356	Respondent’s breakdown of their current information systems staff that are end-user support consultants (IS staff providing end-user computing support such as information centers  hotlines  help desk  and data retrieval).
30357	Respondent’s breakdown of their current information systems staff that are computer operators and data entry clerks.
30358	Respondent’s breakdown of their expected future staffing need for programmers (people doing software development  coding  software maintenance  etc).
30359	Respondent’s breakdown of their expected future staffing need for technical specialists (people with technical knowledge of specific hardware  operating systems  communication systems  database management systems  networks  etc).
30360	Respondent’s breakdown of their expected future staffing need for business analysts/systems analysts (people responsible for planning  analysis  design and implementation of business applications.
30361	Respondent’s breakdown of their expected future staffing need for end-user support consultants (information systems staff providing end-user computing support such as information centers  hotlines  help desk  and data retrieval).
30362	Respondent’s breakdown of their expected future staffing need for computer operators and data entry clerks.
30363	Survey respondents’ ratings of the importance of information systems activities now.
30364	Survey respondents’ ratings of the importance of information systems activities three years from now.
30369	The extent to which adherence to standard systems design techniques and methods is integral to the systems development process.
30370	The extent to which reuse is encouraged and enforced as part of ongoing systems development tasks.
30371	The extent to which quality data is systematically collected and used in formulating quality improvement actions.
30372	The extent to which explicit performance  standards have been established and are  used to control systems development outcomes.
30375	Participation by programmers/analysts in the determination of schedules  resource allocation  and project plans.
30376	The extent to which a product or service meets or exceeds a customer's expectations.
30378	The respondent's assessment of the software firm's position relative to its competitors on product cost efficiency.
30379	The respondent's assessment of the software firm's position relative to its competitors on market responsiveness.
30381	The speed  when compared to competitors in the same situation  with which respondents' current software development approach could be used to respond effectively to changes in labor supply.
30382	The speed  when compared to competitors in the same situation  with which respondents' current software development approach could be used to respond effectively to changes in customer needs.
30383	The speed  when compared to competitors in the same situation  with which respondents' current software development approach could be used to respond effectively to changes in competition.
30384	The speed  when compared to competitors in the same situation  with which respondents' current software development approach could be used to respond effectively to changes in regulation.
30385	The speed  when compared to competitors in the same situation  with which respondents' current software development approach could be used to respond effectively to changes in technology.
30386	The extent to which actual date of completion of project  actual developer-months required for the project  actual budget that would be consumed by the project  actual resources that would be required to complete the project  the actual quality of the finished software  and the actual functionality of the finished software were predictable at the start of a software development project in respondents' organization.
30387	The extent to which the outputs of a software development project can be reused for other projects.
30388	The extent to which a software development  approach can be tailored to the needs of individual projects.
30389	The extent to which organizational mechanisms  such as incentives and rewards  to encourage reuse were present.
30390	The primary affective reactions of individuals to various facets of the job and job experiences.
30391	The extent to which participants strive for managerial competence.
30392	The extent to which participants strive for technical competence.
30393	A count of how many automated features from the functional CASE technology model (FCTM) are possessed by the respondent's CASE (computer-aided software engineering) tool set.
30394	Perceived communication quality in the teams.
30395	Trust that stems from emotional attachment between a trustor and a trust target.
30396	Trust that relies on a rational assessment of the target by the trustor.
30397	The number of developers that have been attracted and retained to work on the team.
30398	The estimate by the project administrator of the total number of work weeks devoted to the project.
30399	The percentage of tasks completed.
30400	Extent of close linkage of information systems strategy and business strategy.
30401	The extent to which information systems planners undertake a concerted effort to better understand the internal operations of the organization in terms of its processes  procedures  and technologies.
30402	General agreement concerning development priorities  implementation schedules  and managerial responsibilities.
30403	How the process of planning and its effectiveness has adapted over time.
30417	The degree to which the objective of being able to complete projects that meet their design objectives on time and within budget was achieved.
30418	The degree to which the objective of being able to manage the development  selection  use  cost  and maintenance of the programs that help users do their work was achieved.
30419	The degree to which the objective of creating an integrated database which is accessible to all users and minimizes the redundant storage of information was achieved.
30420	The degree to which the objective of adjusting the organization's  information system to  changes in data input   processing  or output  requirements was achieved.
30421	The degree to which the objective of working on projects in a rational sequence based upon expected pay-off potential and probability of success was achieved.
30422	The degree to which the objective of  reducing the cost of maintaining existing systems.
30423	Whether the firm has   a systems policy committee  comprised of  managers from functional areas of the organization involved in setting priorities and/or allocating resources  for systems development.
30424	Whether the firm has a written overall plan for systems development  which  covers all major functional areas of the business  and clarifies interrelationships between applications systems.
30425	Whether the firm's manager and higher level management have a mutually agreed upon set of criteria for deciding which applications (systems) to implement first.
30426	Whether top management made a long-term   commitment to provide stable funding for system development activity.
30427	Top management's criteria for application selection  which includes profit or effectiveness contribution  probability of success  timing  user friendly applications  natural sequence of information flows  and social system implications.
30428	The management of user-analyst interaction  during the systems development process.
30429	The participant’s evaluation of how important they feel that each attribute is in ensuring that the overall system will be effective and successful within their organization.
30430	The participant’s perceived importance of monitor (system monitors daily detail activity producing standard reports on a fixed-schedule)  exception (system process daily detail but produces exception reports where the definition of exception conditions is fixed)  inquiry (system produces a database with flexible inquiry capabilities  enabling managers to design and change their own monitoring and exception reports)  and analysis (system provides data analysis capabilities and the appropriate database to support managerial decision-making) systems.
30431	The participant’s evaluation of the degree of performance attained within their organization.
30432	The participant’s perceptions about how well their organization has performed in the development of monitor (system monitors daily detail activity producing standard reports on a fixed-schedule)  exception (system process daily detail but produces exception reports where the definition of exception conditions is fixed)  inquiry (system produces a database with flexible inquiry capabilities  enabling managers to design and change their own monitoring and exception reports)  and analysis (system provides data analysis capabilities and the appropriate database to support managerial decision-making) systems.
30434	Whether the participant reports that they are in upper  upper middle  middle  lower middle  or lower management in the structure of their organization
30435	The participant’s overall rating of their organization’s computer-based information system.
30436	Whether the participant is a member of the information system/data processing department or a managerial user.
30455	Number of incidents  actual dollar loss  opportunity dollar loss  and subjective seriousness index.
30459	Full-time security staff  part-time security staff  total security hours/week  data security hours/week  total security staff salaries  subjective deterrent effect  and longevity of security (from inception to incident date).
30460	Information about proper use  most severe penalty for abuse  and subjective deterrent effect.
30469	Use of software access control and specialized software.
30471	Privileged status of offender   amount of collusion  motivation of offender  employee/non-employee status  tightness of security  visibility of security  and duration of abuse.
30487	The level of advanced educational training and duration of applied work experience required of the key experts.
30488	The number of specific domains or distinct fields of expertise modeled into the system.
30489	The extent to which experts become obsolete and thus ineffective in their problem-solving capabilities without ongoing domain-based education and/or research.
30490	The completeness of computerization for each of the specific domains embodied in a given expert system.
30491	The presence of each of these generic types of solution outputs (problem diagnosis  recommended actions  actual solutions  hypothesis testing).
30492	Number of information inputs.
30493	A high degree of additional interpretation is required for the information inputs to be useful in decision making.
30495	The degree to which the expert system has been ported across different computer architectures and operating systems.
30496	The number of non-inferencing technologies embodied in the delivered systems.
30497	The cumulative size of the underlying reference databases accessed by the expert system in the course of processing (i.e.  the size of the database accessed by the inference engine or logic in the course of programming).
30498	The use of computer networking for accessing other applications or databases by the expert system.
30499	The number of  rules  (because most systems except for the simplest example-based systems employ some form of rule specification as a basic element of logic)  and the total size of the  knowledge base   which in more complex systems will include  object  specifications as well as  rules.
30500	Number of information sources.
30501	A single user  two or three users in a single department  three or more users in a single department  many users in several departments  or company-wide usage.
30503	The degree of programming and other technical effort required for integrating the expert system with existing information systems.
30504	The time required to develop a prototype knowledge-based system.
30505	The time required to develop an operational knowledge-based system.
30506	The amount of money spent to create the system.
30507	Systems were conceived originally by domain experts in existing business departments within the respective companies; by a programmer in a DP department or  as in several companies  by an  Al specialist  working within a special Al group reporting to DP management; or in sources external to the respective companies.
30508	Existing business departments or DP/MIS departments had effective control over the development effort.
30520	Whether the organization used Business Systems Planning (BSP)  Strategic Systems Planning (SSP)  Information Engineering (IE)  Method/1  Critical Success Factors  Nolan Norton  In-house  Other  or not available to perform their SISP study.
30521	The participant’s reported overall satisfaction with the methodology.
30522	The participant’s reported overall satisfaction with the resources required.
30523	The participant’s reported overall satisfaction with the methodology’s process.
30524	The participant’s reported overall satisfaction with the methodology’s output.
30525	The participant’s reported overall satisfaction with how well the plan was carried out.
30526	Whether the respondent’s job title was president  vice president  director  manager  supervisor/group leader  analyst/data administrator  consultant  or other.
30527	Whether the respondent had less than 10 years  10 to 20 years  or over 20 years of IS experience.
30528	Whether the respondent worked in the manufacturing  utilities  insurance  government  retail  or other/not available industry.
